transaction_id,sender_account_id,receiver_account_id,amount,timestamp
T0574,A1159,A1125,34.18,2026-07-18T06:11:00
T0019,A1041,A1187,163.7,2026-07-18T06:45:00
T0417,A1075,A1114,31.47,2026-07-18T08:27:00
T0245,A1101,A1127,88.07,2026-07-18T08:50:00
T0390,A1184,A1104,31.83,2026-07-18T09:41:00
T0572,A1166,A1190,194.01,2026-07-18T10:41:00
T0256,A1178,A1091,231.07,2026-07-18T11:12:00
T0047,A1058,A1063,166.17,2026-07-18T11:44:00
T0278,A1111,A1040,57.28,2026-07-18T15:01:00
T0591,A1193,A1088,457.96,2026-07-18T21:32:00
T0416,A1139,A1189,397.53,2026-07-18T22:42:00
T0506,A1152,A1014,276.43,2026-07-19T16:38:00
T0660,A1167,A1035,279.48,2026-07-19T17:57:00
T0201,A1071,A1021,92.36,2026-07-19T19:53:00
T0060,A1142,A1135,78.56,2026-07-19T20:11:00
T0066,A1054,A1048,58.95,2026-07-19T22:45:00
T0659,A1039,A1109,94.93,2026-07-20T03:40:00
T0283,A1160,A1153,173.4,2026-07-20T04:05:00
T0706,A1120,A1034,109.2,2026-07-20T10:24:00
T0197,A1018,A1004,209.54,2026-07-20T23:17:00
T0064,A1048,A1194,284.37,2026-07-21T02:04:00
T0186,A1038,A1105,257.26,2026-07-21T02:34:00
T0400,A1080,A1182,447.21,2026-07-21T02:47:00
T0623,A1076,A1023,238.31,2026-07-21T02:59:00
T0319,A1181,A1164,548.86,2026-07-21T04:41:00
T0157,A1193,A1010,399.98,2026-07-21T05:24:00
T0384,A1052,A1167,140.48,2026-07-21T14:58:00
T0331,A1174,A1085,253.05,2026-07-21T15:52:00
T0315,A1066,A1191,95.92,2026-07-21T19:45:00
T0414,A1190,A1064,546.34,2026-07-21T20:43:00
T0670,A1099,A1125,170.6,2026-07-21T22:18:00
T0512,A1149,A1089,43.58,2026-07-21T22:21:00
T0507,A1168,A1132,256.1,2026-07-22T10:05:00
T0010,A1012,A1171,441.71,2026-07-22T12:38:00
T0222,A1062,A1038,42.84,2026-07-22T12:59:00
T0451,A1124,A1084,85.4,2026-07-22T16:20:00
T0290,A1133,A1107,1037.87,2026-07-22T18:46:00
T0303,A1009,A1101,489.16,2026-07-22T22:59:00
T0225,A1186,A1078,42.43,2026-07-23T00:17:00
T0323,A1166,A1076,59.47,2026-07-23T04:56:00
T0009,A1035,A1027,290.98,2026-07-23T09:39:00
T0585,A1111,A1083,228.94,2026-07-23T11:02:00
T0084,A1020,A1095,772.32,2026-07-23T11:17:00
T0099,A1097,A1021,349.18,2026-07-23T18:22:00
T0002,A1164,A1177,82.21,2026-07-23T18:31:00
T0673,A1157,A1125,2022.42,2026-07-23T19:06:00
T0158,A1108,A1026,579.36,2026-07-23T20:44:00
T0167,A1033,A1063,73.53,2026-07-23T20:47:00
T0022,A1024,A1047,875.1,2026-07-23T21:52:00
T0236,A1178,A1154,130.05,2026-07-23T22:14:00
T0249,A1107,A1051,601.65,2026-07-24T00:16:00
T0525,A1061,A1067,95.77,2026-07-24T01:28:00
T0592,A1005,A1176,84.11,2026-07-24T03:39:00
T0351,A1012,A1169,161.41,2026-07-24T08:06:00
T0448,A1036,A1041,43.73,2026-07-24T08:07:00
T0543,A1124,A1076,86.21,2026-07-24T11:30:00
T0492,A1194,A1178,225.94,2026-07-24T12:00:00
T0360,A1130,A1019,275.81,2026-07-24T15:00:00
T0622,A1067,A1093,438.78,2026-07-24T15:46:00
T0007,A1182,A1020,112.2,2026-07-24T16:12:00
T0655,A1060,A1128,119.47,2026-07-24T18:54:00
T0237,A1091,A1101,193.35,2026-07-25T00:20:00
T0024,A1084,A1077,250.68,2026-07-25T03:22:00
T0356,A1027,A1127,94.34,2026-07-25T06:31:00
T0458,A1155,A1020,47.2,2026-07-25T07:02:00
T0361,A1164,A1059,6.86,2026-07-25T08:59:00
T0466,A1010,A1056,322.74,2026-07-25T09:29:00
T0482,A1149,A1196,36.22,2026-07-25T09:51:00
T0637,A1146,A1050,190.16,2026-07-25T13:38:00
T0023,A1001,A1066,125.46,2026-07-25T15:15:00
T0062,A1023,A1137,289.71,2026-07-25T18:27:00
T0535,A1156,A1066,86.91,2026-07-25T20:31:00
T0089,A1084,A1144,385.45,2026-07-26T00:12:00
T0648,A1158,A1069,45.3,2026-07-26T00:41:00
T0008,A1191,A1122,73.44,2026-07-26T01:21:00
T0301,A1124,A1146,218.58,2026-07-26T09:39:00
T0496,A1166,A1149,146.38,2026-07-26T09:58:00
T0305,A1005,A1086,393.15,2026-07-26T20:25:00
T0321,A1149,A1026,233.34,2026-07-27T01:31:00
T0557,A1167,A1099,116.56,2026-07-27T04:47:00
T0571,A1061,A1132,959.24,2026-07-27T05:53:00
T0299,A1025,A1027,202.87,2026-07-27T08:58:00
T0198,A1010,A1015,646.46,2026-07-27T09:50:00
T0040,A1015,A1017,873.65,2026-07-27T11:09:00
T0006,A1088,A1197,375.95,2026-07-27T12:20:00
T0164,A1137,A1043,64.76,2026-07-27T16:03:00
T0712,A1126,A1046,424.44,2026-07-27T18:34:00
T0449,A1049,A1029,155.31,2026-07-27T18:56:00
T0551,A1041,A1087,90.96,2026-07-27T20:28:00
T0649,A1169,A1168,137.57,2026-07-27T22:57:00
T0705,A1017,A1194,136.4,2026-07-27T23:42:00
T0027,A1197,A1079,444.31,2026-07-28T04:31:00
T0444,A1191,A1100,68.84,2026-07-28T11:06:00
T0045,A1100,A1135,1898.41,2026-07-28T11:47:00
T0583,A1140,A1133,51.59,2026-07-28T12:46:00
T0618,A1008,A1072,253.03,2026-07-28T19:22:00
T0654,A1125,A1100,293.97,2026-07-28T20:26:00
T0564,A1113,A1078,131.88,2026-07-28T23:09:00
T0177,A1170,A1166,69.58,2026-07-29T03:23:00
T0716,A1051,A1176,30.19,2026-07-29T08:20:00
T0101,A1099,A1081,138.37,2026-07-29T09:25:00
T0692,A1045,A1196,336.87,2026-07-29T12:09:00
T0144,A1172,A1180,288.51,2026-07-29T20:09:00
T0522,A1087,A1019,201.72,2026-07-29T21:39:00
T0614,A1086,A1168,154.78,2026-07-30T00:27:00
T0528,A1138,A1010,465.18,2026-07-30T01:02:00
T0519,A1007,A1123,266.95,2026-07-30T01:43:00
T0454,A1149,A1039,214.84,2026-07-30T03:02:00
T0709,A1154,A1180,70.78,2026-07-30T03:22:00
T0452,A1025,A1072,1402.09,2026-07-30T06:12:00
T0423,A1146,A1140,58.3,2026-07-30T06:22:00
T0268,A1036,A1084,312.72,2026-07-30T09:59:00
T0638,A1198,A1110,147.18,2026-07-30T12:39:00
T0601,A1039,A1156,95.83,2026-07-30T15:28:00
T0341,A1098,A1001,144.34,2026-07-30T15:53:00
T0173,A1016,A1136,542.33,2026-07-30T17:18:00
T0684,A1149,A1178,205.23,2026-07-30T18:36:00
T0546,A1137,A1044,568.22,2026-07-30T22:10:00
T0559,A1007,A1008,1342.57,2026-07-30T22:24:00
T0295,A1017,A1022,130.9,2026-07-31T00:26:00
T0072,A1148,A1184,152.34,2026-07-31T08:36:00
T0577,A1127,A1095,133.52,2026-07-31T09:26:00
T0018,A1129,A1119,23.44,2026-07-31T10:23:00
T0377,A1042,A1019,339.63,2026-07-31T10:51:00
T0135,A1173,A1042,191.37,2026-07-31T11:03:00
T0426,A1089,A1056,1269.79,2026-07-31T11:13:00
T0700,A1008,A1170,252.31,2026-07-31T11:19:00
T0436,A1191,A1175,60.01,2026-07-31T12:38:00
T0653,A1005,A1010,71.67,2026-07-31T16:41:00
T0714,A1030,A1188,775.77,2026-07-31T17:10:00
T0690,A1096,A1140,74.37,2026-07-31T20:14:00
T0269,A1042,A1162,486.03,2026-07-31T21:27:00
T0095,A1128,A1190,92.2,2026-08-01T08:02:00
T0397,A1177,A1195,87.85,2026-08-01T12:59:00
T0288,A1068,A1144,246.46,2026-08-01T15:01:00
T0129,A1197,A1173,244.01,2026-08-01T17:35:00
T0401,A1051,A1053,243.04,2026-08-01T18:18:00
T0594,A1178,A1125,93.56,2026-08-01T23:29:00
T0409,A1176,A1075,59.52,2026-08-02T23:33:00
T0456,A1070,A1092,601.74,2026-08-02T23:40:00
T0465,A1114,A1040,394.08,2026-08-02T23:48:00
T0667,A1059,A1152,41.4,2026-08-03T00:49:00
T0068,A1119,A1136,260.31,2026-08-03T01:39:00
T0210,A1147,A1160,47.52,2026-08-03T02:42:00
T0311,A1134,A1145,81.64,2026-08-03T03:15:00
T0194,A1152,A1018,1585.61,2026-08-03T04:49:00
T0534,A1172,A1053,143.01,2026-08-03T05:55:00
T0474,A1164,A1071,97.93,2026-08-03T07:17:00
T0461,A1141,A1066,145.49,2026-08-03T15:08:00
T0596,A1141,A1041,111.85,2026-08-03T17:58:00
T0219,A1079,A1083,48.76,2026-08-03T21:54:00
T0286,A1067,A1023,267.82,2026-08-04T02:30:00
T0061,A1084,A1165,48.45,2026-08-04T02:37:00
T0332,A1190,A1078,53.91,2026-08-04T03:57:00
T0176,A1070,A1023,256.4,2026-08-04T04:18:00
T0304,A1012,A1190,169.84,2026-08-04T05:36:00
T0309,A1104,A1189,170.34,2026-08-04T08:49:00
T0483,A1042,A1185,215.04,2026-08-04T18:12:00
T0378,A1071,A1012,184.82,2026-08-04T19:08:00
T0272,A1098,A1112,661.41,2026-08-04T19:18:00
T0086,A1167,A1166,294.19,2026-08-04T20:30:00
T0046,A1118,A1172,345.72,2026-08-04T20:32:00
T0369,A1123,A1145,261.58,2026-08-04T21:34:00
T0067,A1101,A1061,267.99,2026-08-04T23:34:00
T0106,A1143,A1062,208.85,2026-08-04T23:43:00
T0412,A1178,A1073,254.74,2026-08-05T01:34:00
T0579,A1046,A1049,445.04,2026-08-05T01:34:00
T0335,A1120,A1049,181.12,2026-08-05T01:46:00
T0182,A1026,A1080,130.16,2026-08-05T04:04:00
T0150,A1091,A1002,174.19,2026-08-05T06:44:00
T0374,A1063,A1123,79.48,2026-08-05T08:46:00
T0325,A1184,A1006,88.51,2026-08-05T16:11:00
T0251,A1124,A1088,746.72,2026-08-05T16:25:00
T0656,A1099,A1007,88.03,2026-08-06T02:11:00
T0005,A1146,A1173,366.42,2026-08-06T05:52:00
T0137,A1161,A1047,37.45,2026-08-06T08:09:00
T0463,A1074,A1034,159.06,2026-08-06T10:47:00
T0083,A1134,A1064,376.54,2026-08-06T11:02:00
T0320,A1119,A1077,1015.56,2026-08-06T11:35:00
T0499,A1064,A1078,324.7,2026-08-06T13:43:00
T0509,A1000,A1040,67.63,2026-08-06T16:34:00
T0365,A1159,A1068,348.7,2026-08-06T19:30:00
T0302,A1103,A1036,339.84,2026-08-06T21:34:00
T0438,A1058,A1066,134.86,2026-08-07T03:31:00
T0136,A1143,A1109,501.13,2026-08-07T04:50:00
T0103,A1047,A1110,147.8,2026-08-07T11:23:00
T0247,A1158,A1157,96.96,2026-08-07T20:00:00
T0381,A1127,A1190,241.33,2026-08-07T20:46:00
T0475,A1154,A1183,895.56,2026-08-08T01:44:00
T0607,A1015,A1092,902.07,2026-08-08T04:39:00
T0056,A1171,A1097,369.69,2026-08-08T05:28:00
T0059,A1036,A1118,914.9,2026-08-08T05:52:00
T0307,A1113,A1198,386.85,2026-08-08T06:27:00
T0404,A1122,A1149,259.05,2026-08-08T07:59:00
T0195,A1081,A1033,53.91,2026-08-08T15:23:00
T0541,A1189,A1038,171.77,2026-08-08T16:49:00
T0120,A1077,A1061,109.0,2026-08-08T20:20:00
T0536,A1120,A1156,129.43,2026-08-08T22:07:00
T0495,A1096,A1167,151.1,2026-08-09T02:46:00
T0612,A1147,A1091,492.42,2026-08-09T04:57:00
T0054,A1151,A1188,1188.94,2026-08-09T05:14:00
T0418,A1044,A1188,187.0,2026-08-09T08:05:00
T0632,A1187,A1100,207.44,2026-08-09T15:34:00
T0394,A1001,A1135,445.85,2026-08-09T17:29:00
T0627,A1097,A1020,16.94,2026-08-09T20:45:00
T0455,A1109,A1043,28.7,2026-08-10T00:43:00
T0203,A1166,A1174,256.97,2026-08-10T03:42:00
T0364,A1029,A1024,262.2,2026-08-10T04:12:00
T0132,A1052,A1133,170.21,2026-08-10T05:11:00
T0672,A1171,A1051,289.02,2026-08-10T07:37:00
T0552,A1181,A1068,242.74,2026-08-10T19:53:00
T0313,A1101,A1162,75.71,2026-08-10T22:31:00
T0049,A1061,A1052,28.93,2026-08-10T23:15:00
T0042,A1165,A1107,24.81,2026-08-11T03:50:00
T0392,A1106,A1011,351.29,2026-08-11T08:08:00
T0097,A1083,A1007,521.12,2026-08-11T08:14:00
T0274,A1147,A1166,318.95,2026-08-11T09:51:00
T0337,A1035,A1051,128.14,2026-08-11T11:31:00
T0231,A1100,A1179,419.08,2026-08-11T13:03:00
T0131,A1029,A1186,73.67,2026-08-11T18:41:00
T0154,A1070,A1057,194.52,2026-08-11T23:02:00
T0140,A1016,A1147,81.14,2026-08-11T23:32:00
T0227,A1059,A1133,43.15,2026-08-12T01:31:00
T0720,A1009,A1165,85.89,2026-08-12T06:14:00
T0243,A1032,A1023,133.1,2026-08-12T07:03:00
T0128,A1176,A1147,83.79,2026-08-12T11:34:00
T0467,A1094,A1059,538.08,2026-08-13T02:01:00
T0578,A1020,A1192,299.53,2026-08-13T03:03:00
T0333,A1066,A1149,16.75,2026-08-13T03:54:00
T0480,A1163,A1004,52.32,2026-08-13T05:49:00
T0252,A1069,A1046,25.25,2026-08-13T06:24:00
T0385,A1116,A1084,236.12,2026-08-13T09:34:00
T0719,A1007,A1044,723.22,2026-08-13T12:33:00
T0012,A1174,A1197,1620.64,2026-08-13T15:10:00
T0633,A1074,A1100,72.48,2026-08-13T15:31:00
T0340,A1157,A1111,264.22,2026-08-13T18:53:00
T0258,A1014,A1059,215.06,2026-08-13T20:10:00
T0476,A1084,A1184,23.35,2026-08-13T22:26:00
T0358,A1010,A1140,178.58,2026-08-14T02:01:00
T0498,A1142,A1123,51.57,2026-08-14T08:47:00
T0108,A1016,A1042,148.32,2026-08-14T09:49:00
T0603,A1033,A1045,401.8,2026-08-14T12:18:00
T0074,A1167,A1175,55.44,2026-08-14T19:24:00
T0003,A1071,A1142,559.89,2026-08-14T20:14:00
T0151,A1143,A1129,280.73,2026-08-15T02:11:00
T0566,A1088,A1073,170.66,2026-08-15T02:38:00
T0376,A1164,A1040,183.27,2026-08-15T11:10:00
T0267,A1156,A1056,235.18,2026-08-15T11:55:00
T0711,A1157,A1144,175.94,2026-08-15T15:19:00
T0393,A1117,A1168,245.18,2026-08-15T17:42:00
T0440,A1016,A1193,456.28,2026-08-16T02:27:00
T0343,A1187,A1063,125.67,2026-08-16T03:33:00
T0613,A1026,A1042,548.85,2026-08-16T06:31:00
T0312,A1180,A1050,20.01,2026-08-16T07:27:00
T0032,A1144,A1028,34.16,2026-08-16T08:15:00
T0155,A1144,A1190,454.59,2026-08-16T19:52:00
T0411,A1057,A1190,272.04,2026-08-16T20:07:00
T0447,A1088,A1054,117.89,2026-08-16T23:41:00
T0515,A1128,A1075,131.9,2026-08-17T01:17:00
T0473,A1123,A1154,157.44,2026-08-17T04:01:00
T0471,A1132,A1064,18.28,2026-08-17T08:01:00
T0291,A1121,A1076,376.66,2026-08-17T09:00:00
T0510,A1090,A1171,116.56,2026-08-17T11:01:00
T0353,A1002,A1077,154.77,2026-08-17T16:37:00
T0372,A1147,A1185,279.58,2026-08-17T22:44:00
T0609,A1077,A1019,192.48,2026-08-18T05:29:00
T0427,A1092,A1075,25.54,2026-08-18T14:53:00
T0562,A1162,A1144,132.06,2026-08-18T22:04:00
T0044,A1034,A1167,362.94,2026-08-19T05:39:00
T0057,A1104,A1038,118.19,2026-08-19T07:07:00
T0599,A1061,A1082,545.93,2026-08-19T09:22:00
T0043,A1096,A1020,454.79,2026-08-19T10:07:00
T0279,A1104,A1178,626.56,2026-08-19T11:55:00
T0429,A1159,A1062,623.91,2026-08-19T12:09:00
T0531,A1013,A1134,481.59,2026-08-19T13:19:00
T0039,A1018,A1011,116.29,2026-08-19T14:11:00
T0593,A1010,A1124,402.14,2026-08-19T17:37:00
T0090,A1011,A1019,279.39,2026-08-19T18:16:00
T0250,A1161,A1139,382.83,2026-08-19T21:31:00
T0616,A1110,A1185,120.79,2026-08-19T23:56:00
T0644,A1084,A1053,303.51,2026-08-20T01:40:00
T0445,A1173,A1186,221.15,2026-08-20T04:05:00
T0399,A1179,A1191,205.89,2026-08-20T04:42:00
T0073,A1058,A1097,210.96,2026-08-20T10:53:00
T0600,A1099,A1048,195.42,2026-08-20T12:41:00
T0053,A1172,A1082,146.7,2026-08-21T00:10:00
T0544,A1121,A1161,94.51,2026-08-21T01:51:00
T0610,A1168,A1063,1774.68,2026-08-21T03:53:00
T0511,A1003,A1188,245.58,2026-08-21T05:24:00
T0568,A1074,A1152,124.52,2026-08-21T08:32:00
T0410,A1115,A1026,332.57,2026-08-21T11:27:00
T0403,A1163,A1082,813.57,2026-08-21T12:19:00
T0383,A1154,A1158,1540.91,2026-08-21T12:26:00
T0070,A1120,A1194,123.28,2026-08-21T12:51:00
T0479,A1066,A1046,188.85,2026-08-21T15:12:00
T0092,A1101,A1019,81.72,2026-08-21T21:57:00
T0620,A1070,A1141,188.29,2026-08-22T08:42:00
T0658,A1156,A1160,311.73,2026-08-22T11:30:00
T0379,A1103,A1060,49.06,2026-08-22T11:48:00
T0146,A1036,A1130,112.04,2026-08-22T15:40:00
T0538,A1102,A1071,147.78,2026-08-22T18:03:00
T0626,A1152,A1164,50.45,2026-08-22T18:54:00
T0038,A1101,A1065,1523.33,2026-08-22T23:20:00
T0127,A1110,A1027,186.98,2026-08-23T04:09:00
T0450,A1171,A1017,105.64,2026-08-23T04:19:00
T0121,A1096,A1018,144.84,2026-08-23T07:55:00
T0034,A1133,A1113,78.6,2026-08-23T09:54:00
T0071,A1056,A1189,79.14,2026-08-23T11:50:00
T0518,A1086,A1198,157.91,2026-08-23T17:56:00
T0415,A1162,A1180,317.83,2026-08-23T21:20:00
T0695,A1001,A1155,425.99,2026-08-23T22:23:00
T0263,A1040,A1187,339.27,2026-08-23T22:34:00
T0368,A1033,A1178,347.95,2026-08-24T02:30:00
T0138,A1007,A1188,229.71,2026-08-24T05:41:00
T0116,A1100,A1093,39.42,2026-08-24T05:44:00
T0123,A1107,A1139,1136.62,2026-08-24T09:13:00
T0350,A1163,A1065,618.76,2026-08-24T09:26:00
T0163,A1052,A1015,232.75,2026-08-24T15:51:00
T0104,A1026,A1006,37.1,2026-08-24T16:00:00
T0595,A1082,A1187,119.49,2026-08-24T19:50:00
T0189,A1063,A1070,250.37,2026-08-25T00:54:00
T0696,A1168,A1121,156.14,2026-08-25T01:22:00
T0398,A1075,A1115,330.19,2026-08-25T04:14:00
T0028,A1094,A1157,168.05,2026-08-25T11:15:00
T0605,A1179,A1151,92.96,2026-08-25T11:43:00
T0395,A1149,A1123,24.71,2026-08-25T12:10:00
T0191,A1006,A1168,405.21,2026-08-25T13:51:00
T0277,A1019,A1140,128.1,2026-08-25T14:42:00
T0204,A1186,A1061,146.55,2026-08-25T18:00:00
T0396,A1082,A1129,554.71,2026-08-25T18:22:00
T0666,A1033,A1047,299.36,2026-08-26T01:43:00
T0428,A1121,A1143,67.83,2026-08-26T04:39:00
T0246,A1070,A1071,161.45,2026-08-26T05:32:00
T0718,A1175,A1085,67.05,2026-08-26T09:39:00
T0439,A1110,A1080,212.64,2026-08-26T14:48:00
T0697,A1153,A1001,68.41,2026-08-26T17:53:00
T0082,A1027,A1024,190.2,2026-08-26T17:55:00
T0111,A1077,A1001,570.2,2026-08-26T18:49:00
