device_id,customer_id,ip_address,device_type
D073,C055,198.51.100.82,desktop
D074,C056,192.0.2.8,mobile
D075,C057,198.51.100.235,mobile
D076,C058,198.51.100.182,tablet
D077,C059,203.0.113.75,tablet
D078,C060,192.0.2.220,mobile
D079,C061,203.0.113.115,mobile
D080,C062,198.51.100.172,desktop
D081,C062,203.0.113.18,desktop
D082,C063,192.0.2.184,mobile
D083,C063,198.51.100.132,mobile
D084,C064,192.0.2.204,mobile
D085,C065,198.51.100.8,desktop
D086,C066,198.51.100.121,mobile
D087,C067,192.0.2.18,desktop
D088,C068,203.0.113.186,tablet
D089,C069,198.51.100.212,mobile
D090,C070,198.51.100.166,mobile
D091,C071,203.0.113.134,desktop
D092,C072,203.0.113.165,mobile
D093,C073,192.0.2.112,mobile
D094,C073,192.0.2.134,mobile
D095,C074,192.0.2.84,mobile
D096,C075,203.0.113.231,desktop
D097,C076,198.51.100.52,desktop
D098,C076,192.0.2.162,desktop
D099,C077,192.0.2.130,mobile
D100,C078,203.0.113.41,mobile
D101,C079,203.0.113.232,desktop
D102,C080,203.0.113.12,mobile
D103,C080,192.0.2.13,desktop
D104,C081,203.0.113.108,mobile
D105,C082,203.0.113.141,desktop
D106,C083,198.51.100.125,mobile
D107,C084,203.0.113.105,desktop
D108,C084,198.51.100.20,mobile
D109,C085,198.51.100.125,tablet
D110,C086,203.0.113.38,desktop
D111,C087,198.51.100.189,desktop
D112,C087,198.51.100.35,desktop
D113,C088,192.0.2.83,mobile
D114,C089,198.51.100.117,mobile
D115,C090,192.0.2.76,tablet
D116,C091,198.51.100.65,mobile
D117,C091,198.51.100.149,desktop
D118,C092,192.0.2.129,tablet
D119,C093,198.51.100.129,mobile
D120,C094,198.51.100.131,tablet
D121,C095,192.0.2.151,desktop
D122,C095,192.0.2.14,desktop
D123,C096,203.0.113.174,tablet
D124,C097,192.0.2.218,mobile
D125,C098,198.51.100.188,desktop
D126,C099,198.51.100.13,tablet
D127,C099,192.0.2.147,mobile
D128,C100,198.51.100.20,tablet
D129,C101,203.0.113.73,mobile
D130,C102,192.0.2.102,desktop
D131,C103,198.51.100.144,desktop
D132,C103,192.0.2.52,tablet
D133,C104,192.0.2.11,mobile
D134,C105,198.51.100.134,tablet
D135,C106,203.0.113.37,desktop
D136,C107,198.51.100.43,tablet
D137,C107,203.0.113.191,desktop
D138,C108,203.0.113.214,tablet
D139,C109,198.51.100.123,mobile
D140,C110,203.0.113.30,tablet
D141,C111,203.0.113.225,mobile
D142,C112,198.51.100.169,mobile
D143,C113,203.0.113.124,mobile
D144,C113,203.0.113.163,tablet
D145,C114,203.0.113.64,mobile
D146,C115,203.0.113.30,mobile
D147,C116,198.51.100.109,mobile
D148,C117,192.0.2.107,tablet
D149,C118,203.0.113.188,mobile
D150,C118,203.0.113.37,mobile
D151,C119,203.0.113.124,tablet
D152,C120,192.0.2.119,desktop
DS01,C007,203.0.113.42,mobile
DS01,C018,203.0.113.42,desktop
DS01,C034,203.0.113.42,mobile
DS02,C052,198.51.100.88,mobile
DS02,C077,198.51.100.88,desktop
DS03,C091,192.0.2.144,mobile
DS03,C108,192.0.2.144,desktop
DS04,C023,203.0.113.201,mobile
DS04,C024,203.0.113.201,desktop
DS04,C061,203.0.113.201,mobile
