account_id,customer_id,account_type,opened_date
A1158,C098,savings,2024-10-26
A1159,C098,brokerage,2024-08-09
A1160,C099,business,2022-10-24
A1161,C099,brokerage,2026-06-12
A1162,C099,checking,2022-10-10
A1163,C100,savings,2023-08-19
A1164,C101,checking,2025-06-19
A1165,C101,checking,2024-04-26
A1166,C102,checking,2021-06-01
A1167,C103,checking,2021-03-19
A1168,C104,checking,2022-08-11
A1169,C105,checking,2025-10-18
A1170,C105,savings,2024-06-13
A1171,C106,savings,2023-08-06
A1172,C106,business,2024-02-10
A1173,C107,savings,2021-03-26
A1174,C107,business,2026-02-05
A1175,C108,savings,2024-05-24
A1176,C108,checking,2023-10-24
A1177,C109,checking,2023-07-12
A1178,C109,business,2025-07-19
A1179,C109,brokerage,2022-12-05
A1180,C110,checking,2024-08-16
A1181,C111,savings,2024-12-20
A1182,C112,savings,2023-12-10
A1183,C112,checking,2024-06-02
A1184,C112,checking,2023-01-16
A1185,C113,savings,2023-03-05
A1186,C113,checking,2025-05-06
A1187,C113,savings,2024-10-22
A1188,C114,brokerage,2024-07-16
A1189,C115,checking,2022-11-07
A1190,C116,checking,2023-03-03
A1191,C116,brokerage,2022-06-01
A1192,C117,savings,2026-05-30
A1193,C117,checking,2025-11-24
A1194,C118,brokerage,2024-04-08
A1195,C119,checking,2022-12-18
A1196,C120,brokerage,2024-12-01
A1197,C120,checking,2023-03-14
A1198,C120,brokerage,2024-05-03
